ymd,gicode,co_nm,strt_prc,high_prc,low_prc,cls_prc,adj_prc,par_val,trd_qty,trd_qty_avg,trd_qty_sum,trd_amt,trd_amt_avg,trd_amt_sum
2001-03-31,A005930,삼성전자,158000,235000,157000,208000,208000,5000,602077,817691,49061473,123804441000,162967186392,9778031183500
2001-06-30,A005930,삼성전자,202000,246000,180500,192000,192000,5000,613537,703327,43606273,117326199000,148722475040,9220793452500
2001-09-30,A005930,삼성전자,192000,202000,134000,140000,140000,5000,945715,590280,37187652,134330760000,103337235452,6510245833500
2001-12-31,A005930,삼성전자,150000,293000,143000,279000,279000,5000,769638,820688,50061954,214524112000,177112880697,10803885722500
2002-03-31,A005930,삼성전자,283000,371000,281000,368000,368000,5000,738768,913791,53913671,271918204000,301167205398,17768865118500
2002-06-30,A005930,삼성전자,375000,432000,309000,329000,329000,5000,911219,982874,59955284,298613266000,361880975238,22074739489500
2002-09-30,A005930,삼성전자,322000,370500,294000,298500,298500,5000,815688,708170,43906515,242202248000,235100950605,14576258937500
2002-12-31,A005930,삼성전자,291000,395000,265500,314000,314000,5000,998166,805096,49915931,319775419000,275067464371,17054182791000
2003-03-31,A005930,삼성전자,319000,359000,259500,284000,284000,5000,928851,736150,45641284,269401000000,221173756008,13712772872500
2003-06-30,A005930,삼성전자,278000,375000,272000,355000,355000,5000,312166,644339,39304680,111393405000,202388660402,12345708284500
2003-09-30,A005930,삼성전자,355000,470000,352000,392000,392000,5000,841868,532616,32489572,333041966000,220828767574,13470554822000
2003-12-31,A005930,삼성전자,388000,484500,387000,451000,451000,5000,448634,562817,35457464,201610489000,253789283214,15988724842470
2004-03-31,A005930,삼성전자,451000,572000,446500,572000,572000,5000,597861,516733,31004007,339640545720,273428757202,16405725432130
2004-06-30,A005930,삼성전자,570000,638000,421000,477000,477000,5000,519841,730403,44554556,246996639500,382501585157,23332596694600
2004-09-30,A005930,삼성전자,476000,488000,399500,458000,458000,5000,532078,509716,32112113,242782754000,223162034851,14059208195590
2004-12-31,A005930,삼성전자,458000,501000,399000,450500,450500,5000,345360,535428,34802795,154848896000,236711855993,15386270639570
2005-03-31,A005930,삼성전자,452500,532000,433500,502000,502000,5000,346725,444838,26690267,174568568000,219656810676,13179408640530
2005-06-30,A005930,삼성전자,502000,525000,449500,494000,494000,5000,396777,413262,25622254,195712201260,201118314156,12469335477670
2005-09-30,A005930,삼성전자,494000,619000,493000,588000,588000,5000,458085,439534,28130159,272117845590,247157517833,15818081141280
2005-12-31,A005930,삼성전자,590000,670000,545000,659000,659000,5000,420541,424866,26766527,279036250880,255583048502,16101732055610
