trd_dt,gicode,co_nm,adj_prc,trd_qty,mkt_cap,vol
2017-03-02,A005930,삼성전자,1986000,424996,279389163,0.26512
2017-03-03,A005930,삼성전자,1981000,254174,278685767,0.26461
2017-03-04,A005930,삼성전자,1981000,254174,278685767,0.26461
2017-03-05,A005930,삼성전자,1981000,254174,278685767,0.26461
2017-03-06,A005930,삼성전자,2004000,244697,281921391,0.26471
2017-03-07,A005930,삼성전자,2010000,211065,282765467,0.26467
2017-03-08,A005930,삼성전자,2010000,242819,282765467,0.2632
2017-03-09,A005930,삼성전자,2010000,287445,282765467,0.26321
2017-03-10,A005930,삼성전자,2009000,204556,282624788,0.26215
2017-03-11,A005930,삼성전자,2009000,204556,282624788,0.26215
2017-03-12,A005930,삼성전자,2009000,204556,282624788,0.26215
2017-03-13,A005930,삼성전자,2030000,148482,285579054,0.26169
2017-03-14,A005930,삼성전자,2068000,226501,290924869,0.26221
2017-03-15,A005930,삼성전자,2070000,191757,291206228,0.26219
2017-03-16,A005930,삼성전자,2092000,198663,294301173,0.26233
2017-03-17,A005930,삼성전자,2120000,252046,298240194,0.26255
2017-03-18,A005930,삼성전자,2120000,252046,298240194,0.26255
2017-03-19,A005930,삼성전자,2120000,252046,298240194,0.26255
2017-03-20,A005930,삼성전자,2095000,205001,294723211,0.26286
2017-03-21,A005930,삼성전자,2128000,284403,299365629,0.26312
2017-03-22,A005930,삼성전자,2123000,328545,298662232,0.26316
2017-03-23,A005930,삼성전자,2090000,307942,294019814,0.2637
2017-03-24,A005930,삼성전자,2075000,256163,291909624,0.26386
2017-03-25,A005930,삼성전자,2075000,256163,291909624,0.26386
2017-03-26,A005930,삼성전자,2075000,256163,291909624,0.26386
2017-03-27,A005930,삼성전자,2060000,243553,289799434,0.26401
2017-03-28,A005930,삼성전자,2074000,164325,291768945,0.26404
2017-03-29,A005930,삼성전자,2089000,201865,293879135,0.26405
2017-03-30,A005930,삼성전자,2099000,164080,295285928,0.26379
2017-03-31,A005930,삼성전자,2060000,210006,289799434,0.2646
2017-04-01,A005930,삼성전자,2060000,210006,289799434,0.2646
2017-04-02,A005930,삼성전자,2060000,210006,289799434,0.2646
2017-04-03,A005930,삼성전자,2072000,191588,291487586,0.26319
2017-04-04,A005930,삼성전자,2104000,245110,295989325,0.2629
2017-04-05,A005930,삼성전자,2107000,213994,296411363,0.26023
2017-04-06,A005930,삼성전자,2092000,193668,294301173,0.25978
2017-04-07,A005930,삼성전자,2080000,200420,292613021,0.25949
2017-04-08,A005930,삼성전자,2080000,200420,292613021,0.25949
2017-04-09,A005930,삼성전자,2080000,200420,292613021,0.25949
2017-04-10,A005930,삼성전자,2097000,142827,295004570,0.25875
2017-04-11,A005930,삼성전자,2080000,143458,292613021,0.25858
2017-04-12,A005930,삼성전자,2095000,165498,294723211,0.25858
2017-04-13,A005930,삼성전자,2121000,180816,298380874,0.25827
