date,firmco,name,adjprc,volumn,size
2016-06-01,A000020,동화약품,10400,10500,10600
2016-06-02,A000020,동화약품,10900,10500,11000
2016-06-03,A000020,동화약품,10650,11000,11000
2016-06-07,A000020,동화약품,10700,10700,10750
2016-06-08,A000020,동화약품,10900,10800,11100
2016-06-09,A000020,동화약품,10600,10850,11300
2016-06-10,A000020,동화약품,10650,10700,10750
2016-06-13,A000020,동화약품,10150,10700,10750
2016-06-14,A000020,동화약품,10350,10050,10550
2016-06-15,A000020,동화약품,10400,10350,10550
2016-06-16,A000020,동화약품,10500,10400,11250
2016-06-17,A000020,동화약품,10150,10750,11050
2016-06-20,A000020,동화약품,10200,10300,10300
2016-06-21,A000020,동화약품,10100,10250,10250
2016-06-22,A000020,동화약품,9830,10150,10150
2016-06-23,A000020,동화약품,9730,9710,9870
2016-06-24,A000020,동화약품,9080,9840,9910
2016-06-27,A000020,동화약품,9400,8750,9480
2016-06-28,A000020,동화약품,9760,9210,9770
2016-06-29,A000020,동화약품,9750,9850,10100
2016-06-30,A000020,동화약품,10100,9850,10400
2016-07-01,A000020,동화약품,9960,10200,10200
2016-07-04,A000020,동화약품,10400,10000,10400
2016-07-05,A000020,동화약품,10350,10400,10450
2016-07-06,A000020,동화약품,10100,10250,10400
2016-07-07,A000020,동화약품,10850,10300,11100
2016-07-08,A000020,동화약품,10600,11000,11050
2016-07-11,A000020,동화약품,10650,10750,10850
2016-07-12,A000020,동화약품,10550,10650,10750
2016-07-13,A000020,동화약품,10450,10750,10850
2016-07-14,A000020,동화약품,10300,10500,10500
2016-07-15,A000020,동화약품,10100,10400,10400
2016-07-18,A000020,동화약품,10100,10150,10200
2016-07-19,A000020,동화약품,10050,10150,10200
2016-07-20,A000020,동화약품,9970,10050,10200
2016-07-21,A000020,동화약품,9870,10050,10100
2016-07-22,A000020,동화약품,9990,9950,10100
2016-07-25,A000020,동화약품,9990,10050,10250
2016-07-26,A000020,동화약품,10200,10050,10200
2016-07-27,A000020,동화약품,9970,10200,10250
