TRD_DATE	GICODE	CO_NM	EQUITY	NI	CASH_DIV_COM	LIQ_EQUITY	LIQ_DEBT	INVENTORY	SALES	GROSS_PROFIT	OPE_PROFIT	ASSET	UNLIQ_DEBT	INT_COST	CFO	CGS	RECEIVABLE	ADJ_PRC	MARKET_CAP	CAP_SIZE	WICS_BIG	WICS_MID
2001-01-31	A000010	조흥은행	2084926000	-17208000	0				1434472000	185492000	-15543000	50331452000		-239182000	0	69827000		2685	1.82E+12	1	금융	은행
2001-02-28	A000010	조흥은행	2084926000	-17208000	0				1434472000	185492000	-15543000	50331452000		-239182000	0	69827000		2545	1.73E+12	1	금융	은행
2001-03-30	A000010	조흥은행	2084926000	-17208000	0				1434472000	185492000	-15543000	50331452000		-239182000	0	69827000		1900	1.29E+12	1	금융	은행
2001-04-30	A000010	조흥은행	2140374000	13657000	0				1439699000	304389000	121832000	49859674000		-237903000	0	60025000		2230	1.51E+12	1	금융	은행
2001-05-31	A000010	조흥은행	2140374000	13657000	0				1439699000	304389000	121832000	49859674000		-237903000	0	60025000		2685	1.82E+12	1	금융	은행
2001-06-29	A000010	조흥은행	2140374000	13657000	0				1439699000	304389000	121832000	49859674000		-237903000	0	60025000		2815	1.91E+12	1	금융	은행
2001-07-31	A000010	조흥은행	2263651000	96074000	0				1175812000	321129000	158810000	51509377000		-223596000	0	49391000		2305	1.57E+12	1	금융	은행
2001-08-31	A000010	조흥은행	2263651000	96074000	0				1175812000	321129000	158810000	51509377000		-223596000	0	49391000		2220	1.51E+12	1	금융	은행
2001-09-28	A000010	조흥은행	2263651000	96074000	0				1175812000	321129000	158810000	51509377000		-223596000	0	49391000		1885	1.28E+12	1	금융	은행
2001-10-31	A000010	조흥은행	2274614000	136155000	0				1247695000	352135000	170073000	53637955000		-281374000	0	48362000		2055	1.40E+12	1	금융	은행
2001-11-30	A000010	조흥은행	2274614000	136155000	0				1247695000	352135000	170073000	53637955000		-281374000	0	48362000		3330	2.26E+12	1	금융	은행
